"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-47.048273,-22.874902
"Hydrochoerus hydrochaeris",-46.639403,-23.458241
"Hydrochoerus hydrochaeris",-45.885738,-23.168672
"Hydrochoerus hydrochaeris",-41.251525,-22.038805
"Hydrochoerus hydrochaeris",-47.182648,-23.11556
"Hydrochoerus hydrochaeris",-47.886245,-15.733158
"Hydrochoerus hydrochaeris",-47.449172,-21.957892
"Hydrochoerus hydrochaeris",-43.686977,-22.773375
"Hydrochoerus hydrochaeris",-48.681002,-27.630243
"Hydrochoerus hydrochaeris",-48.443995,-27.43254
"Hydrochoerus hydrochaeris",-47.449488,-21.957905
"Hydrochoerus hydrochaeris",-57.030626,-19.576482
"Hydrochoerus hydrochaeris",-46.702488,-22.938841
"Hydrochoerus hydrochaeris",-53.707846,-29.721325
"Hydrochoerus hydrochaeris",-54.580928,-20.453712
"Hydrochoerus hydrochaeris",-46.901571,-23.159832
"Hydrochoerus hydrochaeris",-48.681538,-27.628131
"Hydrochoerus hydrochaeris",-34.80218,-7.306462
"Hydrochoerus hydrochaeris",-45.369445,-23.819229
"Hydrochoerus hydrochaeris",-45.441794,-22.429764
"Hydrochoerus hydrochaeris",-40.426015,-20.603062
"Hydrochoerus hydrochaeris",-46.553292,-23.669399
"Hydrochoerus hydrochaeris",-45.369445,-23.819229
"Hydrochoerus hydrochaeris",-43.08509,-22.94336
"Hydrochoerus hydrochaeris",-46.553319,-23.669461
"Hydrochoerus hydrochaeris",-45.96186,-22.216045
"Hydrochoerus hydrochaeris",-48.883661,-28.399406
"Hydrochoerus hydrochaeris",-40.336377,-20.364465
"Hydrochoerus hydrochaeris",-47.020739,-22.903578
"Hydrochoerus hydrochaeris",-43.215958,-22.862864
"Hydrochoerus hydrochaeris",-46.553286,-23.669287
"Hydrochoerus hydrochaeris",-46.55326,-23.669346
"Hydrochoerus hydrochaeris",-34.861081,-7.136113
"Hydrochoerus hydrochaeris",-48.551688,-27.304773
"Hydrochoerus hydrochaeris",-56.398061,-16.542268
"Hydrochoerus hydrochaeris",-47.935294,-15.849463
"Hydrochoerus hydrochaeris",-34.999128,-6.8067
"Hydrochoerus hydrochaeris",-54.578609,-20.454929
"Hydrochoerus hydrochaeris",-47.809231,-15.798116
"Hydrochoerus hydrochaeris",-54.577864,-20.454576
"Hydrochoerus hydrochaeris",-47.861352,-15.778455
"Hydrochoerus hydrochaeris",-47.80922,-15.79812
"Hydrochoerus hydrochaeris",-47.30017,-22.225666
"Hydrochoerus hydrochaeris",-51.515235,-29.260114
"Hydrochoerus hydrochaeris",-47.300646,-22.225914
"Hydrochoerus hydrochaeris",-44.418878,-19.872974
"Hydrochoerus hydrochaeris",-54.580474,-20.454035
"Hydrochoerus hydrochaeris",-49.283927,-26.826679
"Hydrochoerus hydrochaeris",-47.020539,-22.903986
"Hydrochoerus hydrochaeris",-40.426015,-20.603062
"Hydrochoerus hydrochaeris",-48.504045,-27.586305
"Hydrochoerus hydrochaeris",-48.504845,-1.465338
"Hydrochoerus hydrochaeris",-34.860967,-7.136042
"Hydrochoerus hydrochaeris",-43.284675,-22.284155
"Hydrochoerus hydrochaeris",-46.553339,-23.669386
"Hydrochoerus hydrochaeris",-40.26116,-19.938642
"Hydrochoerus hydrochaeris",-47.811858,-15.79762
"Hydrochoerus hydrochaeris",-49.55005,-27.8534
"Hydrochoerus hydrochaeris",-53.706844,-29.719322
"Hydrochoerus hydrochaeris",-45.374456,-23.625245
"Hydrochoerus hydrochaeris",-34.945512,-8.012958
"Hydrochoerus hydrochaeris",-47.81885,-21.176327
"Hydrochoerus hydrochaeris",-67.865025,-9.953825
"Hydrochoerus hydrochaeris",-41.887952,-22.767
"Hydrochoerus hydrochaeris",-53.7406,-29.719172
"Hydrochoerus hydrochaeris",-53.707134,-29.716456
"Hydrochoerus hydrochaeris",-34.860347,-7.135605
"Hydrochoerus hydrochaeris",-49.072261,-25.373222
"Hydrochoerus hydrochaeris",-34.860467,-7.135759
"Hydrochoerus hydrochaeris",-43.957806,-19.788279
"Hydrochoerus hydrochaeris",-49.072661,-25.374322
"Hydrochoerus hydrochaeris",-34.860655,-7.135361
"Hydrochoerus hydrochaeris",-47.903301,-15.839058
"Hydrochoerus hydrochaeris",-48.630039,-26.940122
"Hydrochoerus hydrochaeris",-47.903301,-15.839058
"Hydrochoerus hydrochaeris",-47.903301,-15.839058
"Hydrochoerus hydrochaeris",-46.82595,-19.034282
"Hydrochoerus hydrochaeris",-59.864275,3.567189
"Hydrochoerus hydrochaeris",-46.553951,-23.672301
"Hydrochoerus hydrochaeris",-34.860999,-7.136356
"Hydrochoerus hydrochaeris",-48.656764,-20.47184
"Hydrochoerus hydrochaeris",-49.716379,-29.326396
"Hydrochoerus hydrochaeris",-47.452084,-21.957827
"Hydrochoerus hydrochaeris",-41.289352,-21.76202
"Hydrochoerus hydrochaeris",-46.721902,-23.732575
"Hydrochoerus hydrochaeris",-37.039446,-10.97908
